No,SKU,Product Name,Brand / Company,Category,Price (ZAR),Stock,Short Description,Full Description,Tags,Image File
1,HB-001,Formula 1 Nutritional Shake Mix - French Vanilla 550g,Herbalife,Weight Management,750,50,"Creamy vanilla meal-replacement shake with protein, fibre and 25 vitamins & minerals.","Herbalife's best-selling healthy meal shake. Each serving delivers high-quality protein, fibre and 25 essential vitamins and minerals to support weight management and everyday nutrition. Blend with milk or water for a quick breakfast or lunch on the go.","bestseller, shake, vanilla, meal replacement",images/hb-001.jpg
2,HB-002,Formula 1 Nutritional Shake Mix - Dutch Chocolate 550g,Herbalife,Weight Management,750,50,"Rich chocolate meal-replacement shake with protein, fibre and 25 vitamins & minerals.","A delicious chocolate healthy-meal shake with high-quality protein, fibre and 25 essential vitamins and minerals. Supports weight management goals and balanced daily nutrition. Mixes easily with milk or water - great for breakfast, lunch or post-workout.","bestseller, shake, chocolate, meal replacement",images/hb-002.jpg
3,HB-003,Formula 1 Nutritional Shake Mix - Cookies & Cream 550g,Herbalife,Weight Management,780,50,"Cookies & cream meal-replacement shake - protein, fibre and 25 vitamins & minerals.","Fan-favourite cookies & cream flavour of the world's popular meal-replacement shake. Packed with protein, fibre and 25 vitamins and minerals to support healthy weight management. Blend with milk for a thick, indulgent-tasting shake without the guilt.","bestseller, shake, cookies and cream, meal replacement",images/herbalife-shake.jpg
4,HB-004,Herbal Aloe Concentrate - Mango 473ml,Herbalife,Digestive Health,520,50,Refreshing mango aloe drink that supports digestion and daily hydration.,A soothing aloe vera concentrate in sweet mango flavour. Add a capful to water for a refreshing daily drink that supports healthy digestion and keeps you hydrated. Low in kilojoules with no added sugar - a daily wellness essential.,"aloe, digestion, mango, hydration",images/herbalife-aloe.jpg
5,HB-005,Herbal Aloe Concentrate - Original 473ml,Herbalife,Digestive Health,520,50,Original unflavoured aloe concentrate to support digestion and hydration.,"Pure and simple aloe vera concentrate with a light, natural taste. Stir into water or juice daily to support a healthy digestive system and boost your water intake. A gentle everyday detox companion with very low kilojoules.","aloe, digestion, original, hydration",images/hb-005.jpg
6,HB-006,Afresh Energy Drink Mix - Ginger 50g,Herbalife,Energy & Fitness,450,50,Low-kilojoule guarana & orange pekoe energy tea with a warming ginger kick.,"An instant energising tea with guarana caffeine, orange pekoe extract and ginger. Enjoy hot or cold for a lift in energy and focus without sugary energy drinks. Perfect pre-workout or for beating the afternoon slump.","energy, tea, ginger, pre-workout",images/hb-006.jpg
7,HB-007,Protein Drink Mix - Vanilla 588g,Herbalife,Energy & Fitness,890,50,24g protein drink mix to build lean muscle and control hunger.,"A versatile high-protein drink mix with 24g of quality protein per serving. Add to your Formula 1 shake or enjoy on its own to support lean muscle, recovery and lasting fullness. Ideal for active lifestyles and gym recovery.","protein, muscle, fitness, vanilla",images/hb-007.jpg
8,FL-001,Forever Aloe Vera Gel - 1 Litre,Forever Living,Digestive Health,620,50,99.7% pure stabilized aloe vera gel to support digestion and immunity.,"Forever's flagship pure aloe vera gel, harvested from company-owned plantations and bottled within hours. Supports healthy digestion, nutrient absorption and immune function. Drink 60-120ml daily - natural, preservative-free wellness in every glass.","bestseller, aloe, digestion, immunity",images/fl-001.jpg
9,FL-002,Forever Aloe Berry Nectar - 1 Litre,Forever Living,Antioxidants,650,50,Aloe vera blended with cranberry & apple for urinary and immune support.,"All the goodness of pure aloe vera gel plus sweet cranberries and apples, rich in vitamin C and antioxidants. Supports urinary tract health and immunity with a naturally sweet taste the whole family enjoys. Shake well and drink daily.","aloe, berry, cranberry, immunity",images/fl-002.jpg
10,FL-003,Forever Bee Pollen - 100 Tablets,Forever Living,Energy & Stamina,480,50,"Natural bee pollen superfood for energy, stamina and daily vitality.","One of nature's most complete superfoods - packed with proteins, vitamins, minerals and amino acids. Supports natural energy, stamina and immune defences. Start with 1 tablet daily and build up. A must for busy, active people.","bee pollen, energy, superfood",images/fl-003.jpg
11,FL-004,Forever Garlic-Thyme - 100 Softgels,Forever Living,Immune Support,520,50,Odourless garlic plus thyme to support immunity and heart health.,"Concentrated odourless garlic combined with thyme for double antioxidant power. Traditionally used to support immune defences, healthy cholesterol and cardiovascular wellness - without garlic breath. Take 1 softgel with each meal.","garlic, immunity, heart",images/fl-004.jpg
12,FL-005,Forever Absorbent-C - 100 Chewables,Forever Living,Vitamins & Minerals,420,50,Vitamin C with oat bran for better absorption and daily immune defence.,"A tasty chewable vitamin C bonded with oat bran fibre for gentle, enhanced absorption. Supports immune function, healthy skin and protection against oxidative stress. Honey-sweetened natural orange flavour - great for adults and kids.","vitamin c, immunity, kids",images/fl-005.jpg
13,FL-006,Forever Arctic Sea Omega-3 - 120 Softgels,Forever Living,Heart & Brain,680,50,Balanced fish + calamari + olive oil omega blend for heart and brain.,"A perfectly balanced omega-3 blend of natural fish oil, calamari oil and olive oil, plus vitamin E. Supports heart, brain, eye and joint health with EPA and DHA in an ideal ratio. Lemon-flavoured, no fishy aftertaste.","omega 3, heart, brain, joints",images/fl-006.jpg
14,FL-007,Forever Aloe Lips Soothing Lip Balm,Forever Living,Personal Care,180,50,"Moisturising aloe + jojoba lip balm for dry, chapped lips.","A pocket-size rescue stick with soothing aloe vera, jojoba and beeswax. Protects and moisturises dry, chapped lips in harsh sun or winter. Also great for minor skin irritations, cuticles and windburn - a handbag essential.","lip balm, aloe, skincare",images/fl-007.jpg
15,GW-001,Green World Kuding Plus Detox Tea - 20 Tea Bags,Green World,Detox & Cleansing,380,50,"Herbal detox tea that supports cleansing, digestion and healthy weight.","A traditional Chinese herbal blend of kuding, lotus leaf and hawthorn. Supports body detoxification, healthy digestion and metabolism as part of a slimming routine. Steep 1 bag in hot water daily - gentle, natural daily cleanse.","bestseller, detox tea, slimming, digestion",images/greenworld-tea.jpg
16,GW-002,Green World Blueberry Super Nutrition - 60 Capsules,Green World,Superfoods,550,50,"Blueberry + lutein formula for eyes, memory and antioxidant protection.","Concentrated blueberry extract with lutein and vitamins to support eye health, memory and sharp focus. Rich in anthocyanin antioxidants that fight free radicals. Ideal for students, screen workers and healthy ageing.","blueberry, eyes, memory, antioxidants",images/gw-002.jpg
17,GW-003,Green World Spirulina Plus - 60 Capsules 500mg,Green World,Superfoods,420,50,"Protein-rich spirulina algae for energy, immunity and daily nutrition.","Pure spirulina superalgae with over 60% plant protein plus iron, B-vitamins and chlorophyll. Supports energy, immunity and healthy blood. Take 2 capsules daily with water - perfect for vegetarians and busy lifestyles.","spirulina, protein, energy, superfood",images/greenworld-spirulina.jpg
18,GW-004,Green World Chitin Chitosan Fat Blocker - 100 Capsules,Green World,Weight Management,480,50,Natural fibre capsules that help block fat absorption and support slimming.,"Chitosan fibre from shellfish that binds dietary fats in the digestive tract, supporting healthy weight management and cholesterol levels. Take before meals with a full glass of water alongside a balanced diet and exercise.","slimming, fat blocker, fibre",images/gw-004.jpg
19,GW-005,Green World Compound Marrow Bone & Joint Powder - 10 Sachets,Green World,Bones & Joints,620,50,Calcium + collagen marrow powder for strong bones and flexible joints.,"A nourishing blend of bone marrow extract, calcium and collagen peptides. Supports bone density, joint comfort and mobility - especially for active adults and seniors. Dissolve 1 sachet in warm water or milk daily.","bones, joints, calcium, collagen",images/gw-005.jpg
20,GW-006,Green World Deep Sea Fish Oil Omega-3 - 100 Softgels,Green World,Heart & Brain,450,50,"Purified deep-sea fish oil for heart, brain and eye health.","High-quality omega-3 EPA & DHA from deep-sea fish, purified for freshness. Supports cardiovascular health, brain function and healthy vision. Take 2 softgels daily with meals - essential daily nutrition for the whole family.","omega 3, fish oil, heart, brain",images/gw-006.jpg
21,GW-007,Green World Ginseng RHs Energy & Vitality - 60 Capsules,Green World,Energy & Stamina,580,50,"Korean ginseng extract for energy, stamina and mental performance.","Premium ginseng capsules rich in rare RHs ginsenosides. Traditionally used to fight fatigue, support stamina, focus and male vitality. Take 2 capsules daily in the morning - feel the natural energy difference within weeks.","ginseng, energy, vitality, focus",images/gw-007.jpg
22,AM-001,Nutrilite Daily Multivitamin - 30 Tablets,Amway Nutrilite,Vitamins & Minerals,520,50,11 vitamins + 9 minerals with plant concentrates for daily nutrition gaps.,"One tablet a day covers your essential vitamin and mineral needs, boosted with natural plant concentrates from Nutrilite's organic farms. Supports energy, immunity and overall vitality. The simplest daily health habit.","multivitamin, daily, energy",images/am-001.jpg
23,AM-002,Nutrilite Double X 31-Day Refill Pack,Amway Nutrilite,Vitamins & Minerals,1450,50,"Premium 12-vitamin, 10-mineral + 22 plant concentrate powerhouse.","Nutrilite's most advanced multivitamin - 12 essential vitamins, 10 minerals and a balanced blend of 22 fruits, vegetables and herbs for antioxidant defence. For people who want maximum daily nutritional insurance.","premium, multivitamin, antioxidants",images/am-002.jpg
24,AM-003,Nutrilite Vitamin C Plus Extended Release - 60 Tablets,Amway Nutrilite,Immune Support,480,50,Slow-release 500mg vitamin C with acerola for all-day immunity.,"Extended-release vitamin C that feeds your immune system steadily for up to 8 hours, plus acerola cherry plant concentrate. Supports immunity, collagen for skin, and iron absorption. One tablet daily, especially in winter.","vitamin c, immunity, skin",images/am-003.jpg
25,AM-004,Nutrilite Omega-3 Complex - 90 Softgels,Amway Nutrilite,Heart & Brain,720,50,"EPA + DHA omega-3 from salmon, anchovy & squid for heart and brain.","A balanced omega-3 complex from quality ocean sources with vitamin E. Supports heart health, brain function and flexible joints. Take 1 softgel three times daily with meals for easy everyday protection.","omega 3, heart, brain",images/am-004.jpg
26,AM-005,Nutrilite All Plant Protein Powder - Vanilla 900g,Amway Nutrilite,Energy & Fitness,1250,50,"Tri-blend soy, wheat & pea protein - 8g per serving, low fat.","Smooth vanilla plant protein combining soy, wheat and yellow pea for a complete amino acid profile. Supports lean muscle, recovery and lasting fullness with no cholesterol. Stir into shakes, oats or baking - 8g protein per scoop.","protein, plant based, muscle, vanilla",images/am-005.jpg
27,AM-006,Nutrilite Cal Mag D Plus - 180 Tablets,Amway Nutrilite,Bones & Joints,560,50,"Calcium + magnesium + vitamin D for bones, teeth and muscles.","A triple-action bone formula with calcium from natural algae, magnesium and vitamin D for absorption. Supports strong bones and teeth, muscle function and restful sleep. Take 1 tablet three times daily with meals.","calcium, magnesium, bones, sleep",images/am-006.jpg
28,AM-007,XS Sparkling Energy Drink - Citrus Blast 6 x 250ml,Amway Nutrilite,Energy & Fitness,390,50,Sugar-free sparkling energy with B-vitamins and 80mg caffeine.,"A guilt-free fizzy energy drink with B-vitamins, 80mg natural caffeine and zero sugar. Sharp citrus taste with only 8 kilojoules per can. Grab one pre-gym, on the road or through long study nights.","energy drink, sugar free, pre-workout",images/am-007.jpg
29,NL-001,NeoLife Carotenoid Complex - 90 Softgels,NeoLife GNLD,Antioxidants,680,50,15 carotenoids from whole foods for powerful antioxidant protection.,"The world's first whole-food carotenoid supplement, delivering 15 powerful carotenoids from carrots, tomatoes and spinach. Clinically shown to support immunity and protect cells from oxidative damage. Take 1 softgel daily.","carotenoids, immunity, antioxidants",images/nl-001.jpg
30,NL-002,NeoLife Formula IV Plus Multivitamin - 60 Sachets,NeoLife GNLD,Vitamins & Minerals,720,50,Whole-food based multi with Tre-en-en grain oils for cellular nutrition.,"More than a multivitamin - Formula IV Plus feeds every cell with vitamins, minerals and Tre-en-en whole-grain lipids for nutrient absorption. Supports energy, focus and daily vitality. One convenient sachet per day.","multivitamin, whole food, energy",images/nl-002.jpg
31,NL-003,NeoLife Aloe Vera Plus - Cranberry 1 Litre,NeoLife GNLD,Digestive Health,540,50,Aloe + cranberry digestive tonic for gut comfort and urinary health.,"A soothing blend of aloe vera and cranberry juice concentrate. Supports comfortable digestion and a healthy urinary tract with a pleasant tart-sweet taste. Drink 60ml daily, chilled - gentle enough for everyday use.","aloe, cranberry, digestion",images/nl-003.jpg
32,NL-004,NeoLife Pro Vitality Daily Nutrition Pack - 30 Sachets,NeoLife GNLD,Daily Nutrition,1150,50,All-in-one daily pack: multi + omega + carotenoids + Tre-en-en.,"Four powerhouse supplements in one daily sachet - Formula IV multivitamin, Carotenoid Complex, Omega-3 Salmon Oil and Tre-en-en. Complete cellular nutrition for energy, heart, immunity and vitality in 30 seconds a day.","daily pack, complete nutrition, energy",images/nl-004.jpg
