Type,SKU,Name,Published,Short description,Description,Regular price,Categories,Tags,Stock,Images
simple,HB-001,Formula 1 Nutritional Shake Mix - French Vanilla 550g,1,"Creamy vanilla meal-replacement shake with protein, fibre and 25 vitamins & minerals.","Herbalife's best-selling healthy meal shake. Each serving delivers high-quality protein, fibre and 25 essential vitamins and minerals to support weight management and everyday nutrition. Blend with milk or water for a quick breakfast or lunch on the go.",750,Weight Management,"Herbalife, bestseller, shake, vanilla, meal replacement",50,images/hb-001.jpg
simple,HB-002,Formula 1 Nutritional Shake Mix - Dutch Chocolate 550g,1,"Rich chocolate meal-replacement shake with protein, fibre and 25 vitamins & minerals.","A delicious chocolate healthy-meal shake with high-quality protein, fibre and 25 essential vitamins and minerals. Supports weight management goals and balanced daily nutrition. Mixes easily with milk or water - great for breakfast, lunch or post-workout.",750,Weight Management,"Herbalife, bestseller, shake, chocolate, meal replacement",50,images/hb-002.jpg
simple,HB-003,Formula 1 Nutritional Shake Mix - Cookies & Cream 550g,1,"Cookies & cream meal-replacement shake - protein, fibre and 25 vitamins & minerals.","Fan-favourite cookies & cream flavour of the world's popular meal-replacement shake. Packed with protein, fibre and 25 vitamins and minerals to support healthy weight management. Blend with milk for a thick, indulgent-tasting shake without the guilt.",780,Weight Management,"Herbalife, bestseller, shake, cookies and cream, meal replacement",50,images/herbalife-shake.jpg
simple,HB-004,Herbal Aloe Concentrate - Mango 473ml,1,Refreshing mango aloe drink that supports digestion and daily hydration.,A soothing aloe vera concentrate in sweet mango flavour. Add a capful to water for a refreshing daily drink that supports healthy digestion and keeps you hydrated. Low in kilojoules with no added sugar - a daily wellness essential.,520,Digestive Health,"Herbalife, aloe, digestion, mango, hydration",50,images/herbalife-aloe.jpg
simple,HB-005,Herbal Aloe Concentrate - Original 473ml,1,Original unflavoured aloe concentrate to support digestion and hydration.,"Pure and simple aloe vera concentrate with a light, natural taste. Stir into water or juice daily to support a healthy digestive system and boost your water intake. A gentle everyday detox companion with very low kilojoules.",520,Digestive Health,"Herbalife, aloe, digestion, original, hydration",50,images/hb-005.jpg
simple,HB-006,Afresh Energy Drink Mix - Ginger 50g,1,Low-kilojoule guarana & orange pekoe energy tea with a warming ginger kick.,"An instant energising tea with guarana caffeine, orange pekoe extract and ginger. Enjoy hot or cold for a lift in energy and focus without sugary energy drinks. Perfect pre-workout or for beating the afternoon slump.",450,Energy & Fitness,"Herbalife, energy, tea, ginger, pre-workout",50,images/hb-006.jpg
simple,HB-007,Protein Drink Mix - Vanilla 588g,1,24g protein drink mix to build lean muscle and control hunger.,"A versatile high-protein drink mix with 24g of quality protein per serving. Add to your Formula 1 shake or enjoy on its own to support lean muscle, recovery and lasting fullness. Ideal for active lifestyles and gym recovery.",890,Energy & Fitness,"Herbalife, protein, muscle, fitness, vanilla",50,images/hb-007.jpg
simple,FL-001,Forever Aloe Vera Gel - 1 Litre,1,99.7% pure stabilized aloe vera gel to support digestion and immunity.,"Forever's flagship pure aloe vera gel, harvested from company-owned plantations and bottled within hours. Supports healthy digestion, nutrient absorption and immune function. Drink 60-120ml daily - natural, preservative-free wellness in every glass.",620,Digestive Health,"Forever Living, bestseller, aloe, digestion, immunity",50,images/fl-001.jpg
simple,FL-002,Forever Aloe Berry Nectar - 1 Litre,1,Aloe vera blended with cranberry & apple for urinary and immune support.,"All the goodness of pure aloe vera gel plus sweet cranberries and apples, rich in vitamin C and antioxidants. Supports urinary tract health and immunity with a naturally sweet taste the whole family enjoys. Shake well and drink daily.",650,Antioxidants,"Forever Living, aloe, berry, cranberry, immunity",50,images/fl-002.jpg
simple,FL-003,Forever Bee Pollen - 100 Tablets,1,"Natural bee pollen superfood for energy, stamina and daily vitality.","One of nature's most complete superfoods - packed with proteins, vitamins, minerals and amino acids. Supports natural energy, stamina and immune defences. Start with 1 tablet daily and build up. A must for busy, active people.",480,Energy & Stamina,"Forever Living, bee pollen, energy, superfood",50,images/fl-003.jpg
simple,FL-004,Forever Garlic-Thyme - 100 Softgels,1,Odourless garlic plus thyme to support immunity and heart health.,"Concentrated odourless garlic combined with thyme for double antioxidant power. Traditionally used to support immune defences, healthy cholesterol and cardiovascular wellness - without garlic breath. Take 1 softgel with each meal.",520,Immune Support,"Forever Living, garlic, immunity, heart",50,images/fl-004.jpg
simple,FL-005,Forever Absorbent-C - 100 Chewables,1,Vitamin C with oat bran for better absorption and daily immune defence.,"A tasty chewable vitamin C bonded with oat bran fibre for gentle, enhanced absorption. Supports immune function, healthy skin and protection against oxidative stress. Honey-sweetened natural orange flavour - great for adults and kids.",420,Vitamins & Minerals,"Forever Living, vitamin c, immunity, kids",50,images/fl-005.jpg
simple,FL-006,Forever Arctic Sea Omega-3 - 120 Softgels,1,Balanced fish + calamari + olive oil omega blend for heart and brain.,"A perfectly balanced omega-3 blend of natural fish oil, calamari oil and olive oil, plus vitamin E. Supports heart, brain, eye and joint health with EPA and DHA in an ideal ratio. Lemon-flavoured, no fishy aftertaste.",680,Heart & Brain,"Forever Living, omega 3, heart, brain, joints",50,images/fl-006.jpg
simple,FL-007,Forever Aloe Lips Soothing Lip Balm,1,"Moisturising aloe + jojoba lip balm for dry, chapped lips.","A pocket-size rescue stick with soothing aloe vera, jojoba and beeswax. Protects and moisturises dry, chapped lips in harsh sun or winter. Also great for minor skin irritations, cuticles and windburn - a handbag essential.",180,Personal Care,"Forever Living, lip balm, aloe, skincare",50,images/fl-007.jpg
simple,GW-001,Green World Kuding Plus Detox Tea - 20 Tea Bags,1,"Herbal detox tea that supports cleansing, digestion and healthy weight.","A traditional Chinese herbal blend of kuding, lotus leaf and hawthorn. Supports body detoxification, healthy digestion and metabolism as part of a slimming routine. Steep 1 bag in hot water daily - gentle, natural daily cleanse.",380,Detox & Cleansing,"Green World, bestseller, detox tea, slimming, digestion",50,images/greenworld-tea.jpg
simple,GW-002,Green World Blueberry Super Nutrition - 60 Capsules,1,"Blueberry + lutein formula for eyes, memory and antioxidant protection.","Concentrated blueberry extract with lutein and vitamins to support eye health, memory and sharp focus. Rich in anthocyanin antioxidants that fight free radicals. Ideal for students, screen workers and healthy ageing.",550,Superfoods,"Green World, blueberry, eyes, memory, antioxidants",50,images/gw-002.jpg
simple,GW-003,Green World Spirulina Plus - 60 Capsules 500mg,1,"Protein-rich spirulina algae for energy, immunity and daily nutrition.","Pure spirulina superalgae with over 60% plant protein plus iron, B-vitamins and chlorophyll. Supports energy, immunity and healthy blood. Take 2 capsules daily with water - perfect for vegetarians and busy lifestyles.",420,Superfoods,"Green World, spirulina, protein, energy, superfood",50,images/greenworld-spirulina.jpg
simple,GW-004,Green World Chitin Chitosan Fat Blocker - 100 Capsules,1,Natural fibre capsules that help block fat absorption and support slimming.,"Chitosan fibre from shellfish that binds dietary fats in the digestive tract, supporting healthy weight management and cholesterol levels. Take before meals with a full glass of water alongside a balanced diet and exercise.",480,Weight Management,"Green World, slimming, fat blocker, fibre",50,images/gw-004.jpg
simple,GW-005,Green World Compound Marrow Bone & Joint Powder - 10 Sachets,1,Calcium + collagen marrow powder for strong bones and flexible joints.,"A nourishing blend of bone marrow extract, calcium and collagen peptides. Supports bone density, joint comfort and mobility - especially for active adults and seniors. Dissolve 1 sachet in warm water or milk daily.",620,Bones & Joints,"Green World, bones, joints, calcium, collagen",50,images/gw-005.jpg
simple,GW-006,Green World Deep Sea Fish Oil Omega-3 - 100 Softgels,1,"Purified deep-sea fish oil for heart, brain and eye health.","High-quality omega-3 EPA & DHA from deep-sea fish, purified for freshness. Supports cardiovascular health, brain function and healthy vision. Take 2 softgels daily with meals - essential daily nutrition for the whole family.",450,Heart & Brain,"Green World, omega 3, fish oil, heart, brain",50,images/gw-006.jpg
simple,GW-007,Green World Ginseng RHs Energy & Vitality - 60 Capsules,1,"Korean ginseng extract for energy, stamina and mental performance.","Premium ginseng capsules rich in rare RHs ginsenosides. Traditionally used to fight fatigue, support stamina, focus and male vitality. Take 2 capsules daily in the morning - feel the natural energy difference within weeks.",580,Energy & Stamina,"Green World, ginseng, energy, vitality, focus",50,images/gw-007.jpg
simple,AM-001,Nutrilite Daily Multivitamin - 30 Tablets,1,11 vitamins + 9 minerals with plant concentrates for daily nutrition gaps.,"One tablet a day covers your essential vitamin and mineral needs, boosted with natural plant concentrates from Nutrilite's organic farms. Supports energy, immunity and overall vitality. The simplest daily health habit.",520,Vitamins & Minerals,"Amway Nutrilite, multivitamin, daily, energy",50,images/am-001.jpg
simple,AM-002,Nutrilite Double X 31-Day Refill Pack,1,"Premium 12-vitamin, 10-mineral + 22 plant concentrate powerhouse.","Nutrilite's most advanced multivitamin - 12 essential vitamins, 10 minerals and a balanced blend of 22 fruits, vegetables and herbs for antioxidant defence. For people who want maximum daily nutritional insurance.",1450,Vitamins & Minerals,"Amway Nutrilite, premium, multivitamin, antioxidants",50,images/am-002.jpg
simple,AM-003,Nutrilite Vitamin C Plus Extended Release - 60 Tablets,1,Slow-release 500mg vitamin C with acerola for all-day immunity.,"Extended-release vitamin C that feeds your immune system steadily for up to 8 hours, plus acerola cherry plant concentrate. Supports immunity, collagen for skin, and iron absorption. One tablet daily, especially in winter.",480,Immune Support,"Amway Nutrilite, vitamin c, immunity, skin",50,images/am-003.jpg
simple,AM-004,Nutrilite Omega-3 Complex - 90 Softgels,1,"EPA + DHA omega-3 from salmon, anchovy & squid for heart and brain.","A balanced omega-3 complex from quality ocean sources with vitamin E. Supports heart health, brain function and flexible joints. Take 1 softgel three times daily with meals for easy everyday protection.",720,Heart & Brain,"Amway Nutrilite, omega 3, heart, brain",50,images/am-004.jpg
simple,AM-005,Nutrilite All Plant Protein Powder - Vanilla 900g,1,"Tri-blend soy, wheat & pea protein - 8g per serving, low fat.","Smooth vanilla plant protein combining soy, wheat and yellow pea for a complete amino acid profile. Supports lean muscle, recovery and lasting fullness with no cholesterol. Stir into shakes, oats or baking - 8g protein per scoop.",1250,Energy & Fitness,"Amway Nutrilite, protein, plant based, muscle, vanilla",50,images/am-005.jpg
simple,AM-006,Nutrilite Cal Mag D Plus - 180 Tablets,1,"Calcium + magnesium + vitamin D for bones, teeth and muscles.","A triple-action bone formula with calcium from natural algae, magnesium and vitamin D for absorption. Supports strong bones and teeth, muscle function and restful sleep. Take 1 tablet three times daily with meals.",560,Bones & Joints,"Amway Nutrilite, calcium, magnesium, bones, sleep",50,images/am-006.jpg
simple,AM-007,XS Sparkling Energy Drink - Citrus Blast 6 x 250ml,1,Sugar-free sparkling energy with B-vitamins and 80mg caffeine.,"A guilt-free fizzy energy drink with B-vitamins, 80mg natural caffeine and zero sugar. Sharp citrus taste with only 8 kilojoules per can. Grab one pre-gym, on the road or through long study nights.",390,Energy & Fitness,"Amway Nutrilite, energy drink, sugar free, pre-workout",50,images/am-007.jpg
simple,NL-001,NeoLife Carotenoid Complex - 90 Softgels,1,15 carotenoids from whole foods for powerful antioxidant protection.,"The world's first whole-food carotenoid supplement, delivering 15 powerful carotenoids from carrots, tomatoes and spinach. Clinically shown to support immunity and protect cells from oxidative damage. Take 1 softgel daily.",680,Antioxidants,"NeoLife GNLD, carotenoids, immunity, antioxidants",50,images/nl-001.jpg
simple,NL-002,NeoLife Formula IV Plus Multivitamin - 60 Sachets,1,Whole-food based multi with Tre-en-en grain oils for cellular nutrition.,"More than a multivitamin - Formula IV Plus feeds every cell with vitamins, minerals and Tre-en-en whole-grain lipids for nutrient absorption. Supports energy, focus and daily vitality. One convenient sachet per day.",720,Vitamins & Minerals,"NeoLife GNLD, multivitamin, whole food, energy",50,images/nl-002.jpg
simple,NL-003,NeoLife Aloe Vera Plus - Cranberry 1 Litre,1,Aloe + cranberry digestive tonic for gut comfort and urinary health.,"A soothing blend of aloe vera and cranberry juice concentrate. Supports comfortable digestion and a healthy urinary tract with a pleasant tart-sweet taste. Drink 60ml daily, chilled - gentle enough for everyday use.",540,Digestive Health,"NeoLife GNLD, aloe, cranberry, digestion",50,images/nl-003.jpg
simple,NL-004,NeoLife Pro Vitality Daily Nutrition Pack - 30 Sachets,1,All-in-one daily pack: multi + omega + carotenoids + Tre-en-en.,"Four powerhouse supplements in one daily sachet - Formula IV multivitamin, Carotenoid Complex, Omega-3 Salmon Oil and Tre-en-en. Complete cellular nutrition for energy, heart, immunity and vitality in 30 seconds a day.",1150,Daily Nutrition,"NeoLife GNLD, daily pack, complete nutrition, energy",50,images/nl-004.jpg
simple,NL-005,NeoLife Chelated Cal-Mag Plus - 90 Tablets,1,"Chelated calcium + magnesium + D3 for bones, nerves and calm.","Highly absorbable chelated calcium and magnesium with vitamin D3. Supports strong bones and teeth, relaxed muscles and a calm nervous system. Take up to 3 tablets daily with food - great for active people and seniors.",460,Bones & Joints,"NeoLife GNLD, calcium, magnesium, bones, calm",50,images/nl-005.jpg
simple,NL-006,NeoLife Vitamin E 200 IU - 60 Softgels,1,"Natural mixed tocopherols to protect skin, heart and cells.","Whole-food sourced natural vitamin E with mixed tocopherols for full-spectrum antioxidant protection. Supports heart health, glowing skin and healthy ageing. Take 1 softgel daily with a meal.",380,Antioxidants,"NeoLife GNLD, vitamin e, skin, heart",50,images/nl-006.jpg
simple,NL-007,NeoLife Fibre Tablets Fruit & Veg - 120 Tablets,1,"Chewable fruit & veg fibre for fullness, digestion and gut health.","Tasty chewable fibre from 12 fruits and vegetables. Supports comfortable digestion, healthy cholesterol and lasting fullness between meals. Chew 2 tablets with water before meals - an easy way to boost daily fibre.",450,Digestive Health,"NeoLife GNLD, fibre, digestion, gut health",50,images/nl-007.jpg
simple,TI-001,Tiens Nutrient Super Calcium Powder - 10 Sachets,1,High-absorption bone calcium with vitamins for the whole family.,"Tiens' famous easily-absorbed calcium powder with an ideal calcium-phosphorus ratio plus vitamins. Supports strong bones and teeth for teens, adults and seniors. Dissolve 1 sachet in warm water daily - mild milky taste.",480,Bones & Joints,"Tiens, bestseller, calcium, bones",50,images/ti-001.jpg
simple,TI-002,Tiens Super Calcium Powder for Children - 10 Sachets,1,Kid-friendly calcium with taurine & zinc for growth and brain.,"Specially formulated children's calcium with taurine, zinc and vitamins to support healthy growth, strong teeth and brain development. Sweet cocoa flavour kids love. One sachet daily in warm milk or water.",450,Kids Health,"Tiens, kids, calcium, growth",50,images/ti-002.jpg
simple,TI-003,Tiens Spirulina Capsules - 100 Capsules,1,"100% pure spirulina for protein, iron and natural energy.","Premium pure spirulina with rich plant protein, iron, beta-carotene and B-vitamins. Supports energy levels, immunity and healthy blood. Take 4-6 capsules daily - nature's multivitamin from the cleanest waters.",520,Superfoods,"Tiens, spirulina, iron, energy",50,images/ti-003.jpg
simple,TI-004,Tiens Cordyceps Mycelium Energy Capsules - 100 Capsules,1,"Cordyceps mushroom for stamina, lungs and immune strength.","Fermented cordyceps mycelium prized in Chinese wellness for centuries. Supports energy, stamina, respiratory health and immune defences. Ideal for athletes, busy professionals and healthy ageing. Take 2-3 capsules twice daily.",680,Energy & Stamina,"Tiens, cordyceps, stamina, immunity",50,images/ti-004.jpg
simple,TI-005,Tiens Chitosan Fat-Control Capsules - 100 Capsules,1,Chitosan fibre to help manage fat absorption and weight.,"Natural chitosan fibre that attracts and binds dietary fats, supporting weight management and healthy cholesterol when combined with diet and exercise. Take 2 capsules before oily meals with plenty of water.",550,Weight Management,"Tiens, slimming, fat blocker, chitosan",50,images/ti-005.jpg
simple,TI-006,Tiens Kaneh Bosm Slimming & Detox Tea - 40 Bags,1,5-herb slimming tea that supports metabolism and gentle cleansing.,"A traditional five-herb blend including green tea and senna leaf. Supports metabolism, reduces bloating and gently cleanses the digestive system. Drink 1 cup after dinner - a favourite for flat-tummy routines.",380,Detox & Cleansing,"Tiens, slimming tea, detox, metabolism",50,images/ti-006.jpg
simple,TI-007,Tiens Zinc + Spirulina Immune Capsules - 60 Capsules,1,"Zinc plus spirulina to support immunity, skin and recovery.","Essential zinc combined with spirulina extract for double immune support. Zinc also supports healthy skin, taste and faster recovery. Take 1-2 capsules daily - especially valuable during season changes and exam stress.",350,Immune Support,"Tiens, zinc, immunity, skin",50,images/ti-007.jpg
simple,ED-001,Edmark Shake Off Phyto Fiber Colon Cleanse - Pandan 12 Sachets,1,"Bestselling 8-hour colon cleanse with roselle, oats & garcinia.","The famous Shake Off drink that flushes toxins and waste from the colon in as little as 6-8 hours. Fibre-rich blend of roselle, oat bran and garcinia for a flatter tummy and lighter feeling. Drink 1 sachet at bedtime.",550,Detox & Cleansing,"Edmark, bestseller, colon cleanse, detox, fibre",50,images/ed-001.jpg
simple,ED-002,Edmark MRT Complex Meal Replacement - Vanilla 550g,1,Low-GI vanilla shake with L-carnitine for healthy slimming.,"A low glycaemic-index meal replacement with soy protein, vitamins and L-carnitine to support fat burning and lean muscle. Keeps you full for hours with complete nutrition. Replace 1-2 meals daily for best results.",680,Weight Management,"Edmark, meal replacement, slimming, shake",50,images/ed-002.jpg
simple,ED-003,Edmark Cocollagen Chocolate Collagen Drink - 20 Sachets,1,Chocolate collagen + cocoa drink for youthful skin and joints.,"Indulgent chocolate drink fortified with marine collagen and cocoa antioxidants. Supports skin elasticity, strong hair and nails, and comfortable joints. Stir 1 sachet into hot water or milk - beauty you can taste.",520,Beauty & Joints,"Edmark, collagen, skin, chocolate, joints",50,images/ed-003.jpg
simple,ED-004,Edmark Red Yeast Coffee - 20 Sachets,1,Coffee with red yeast rice to support healthy cholesterol.,"Smooth instant coffee blended with red yeast rice and grape seed extract. A heart-smart way to enjoy your daily cup while supporting healthy cholesterol levels. Just add hot water - rich aroma, wellness in every sip.",420,Heart Health,"Edmark, coffee, cholesterol, heart",50,images/ed-004.jpg
simple,ED-005,Edmark Ginseng Smart Coffee - 20 Sachets,1,Coffee plus ginseng & ganoderma for focus and stamina.,"Premium coffee boosted with Korean ginseng and ganoderma extracts. Supports mental focus, stamina and immune defence while you enjoy real coffee taste. Your smarter morning cup - just add hot water.",450,Energy & Focus,"Edmark, coffee, ginseng, focus, energy",50,images/ed-005.jpg
